C,A,8,0,S,0,COIL,0.7,610,0,0,3
C,R,0,0,S,0,COIL,3.2,610,0,0,3
C,R,0,0,S,0,SHEET,0.7,1300,762,0,3
C,A,0,60,?,0,COIL,2.801,385.1,0,0,3
C,A,0,60,?,0,SHEET,0.801,255,269,0,3
C,A,0,45,S,0,COIL,1.6,610,0,0,3
C,R,0,0,S,0,SHEET,0.699,610,4880,0,3
C,A,0,0,S,0,COIL,3.3,152,0,0,3
C,R,0,0,S,0,COIL,0.699,1320,0,0,3
C,A,0,0,S,0,SHEET,1,1320,762,0,3
C,R,0,0,S,0,COIL,1.2,610,0,0,3
C,R,0,0,S,0,SHEET,0.3,1320,4880,0,3
C,R,0,0,S,0,SHEET,1.2,610,150,0,3
C,A,0,45,S,0,COIL,1.2,609.9,0,0,3
C,A,0,0,S,0,SHEET,0.6,1220,761,0,3
C,A,0,0,S,0,SHEET,4,1320,762,0,3
C,A,10,0,?,0,COIL,3.201,600,0,0,U
C,A,0,80,?,0,SHEET,0.8,610,4170,0,U
C,A,0,0,S,0,SHEET,3.2,1320.1,762,0,3
C,A,0,70,?,0,COIL,0.501,1200.1,0,0,3
C,A,0,0,S,0,SHEET,0.6,610,761,0,3
C,K,55,0,?,0,COIL,0.8,610,0,0,3
C,A,0,85,?,0,COIL,1.001,50,0,0,U
C,S,70,0,?,0,COIL,3.2,609.9,0,0,3
C,A,3,0,?,0,COIL,0.5,610,0,0,1
C,?,0,50,?,0,COIL,3.2,1320,0,0,3
C,A,0,60,?,0,SHEET,0.8,356,4880,0,3
C,R,0,0,S,0,SHEET,0.7,609.9,4170,0,3
C,K,55,0,?,0,COIL,0.8,900,0,0,3
C,W,0,0,?,310,COIL,1.6,610,0,500,3
C,A,0,0,?,0,SHEET,0.6,610,4880,0,5
C,?,0,45,S,0,SHEET,1.4,1320,4170,0,3
C,A,0,45,S,0,SHEET,0.699,1320,762,0,3
C,A,0,85,?,0,COIL,4,450,0,0,U
C,A,0,0,S,0,SHEET,0.75,1320,4880,0,3
C,A,0,0,?,0,COIL,1.6,1220,0,0,5
C,M,0,0,?,350,COIL,1.399,1320,0,0,3
C,A,0,50,?,0,COIL,0.6,1320,0,0,3
C,R,0,0,S,0,COIL,0.651,20,0,0,3
C,R,0,0,S,0,SHEET,1.6,374.9,4880,0,3
C,A,0,0,S,0,COIL,1.6,50,0,0,3
C,R,0,0,S,0,SHEET,0.699,1320,4880,0,3
C,A,0,50,?,0,COIL,0.7,610,0,0,3
C,R,0,0,S,0,SHEET,0.6,610,762,0,3
C,A,0,0,?,0,COIL,0.799,20,0,0,5
C,A,0,0,S,0,SHEET,0.6,610,301,0,3
C,R,0,0,S,0,SHEET,0.601,610,4880,0,3
C,A,0,45,S,0,SHEET,0.7,1320,4880,0,3
C,W,0,0,?,310,COIL,2.5,1274.9,0,500,3
C,A,0,0,S,0,SHEET,0.699,1320,4880,0,3
C,A,0,0,S,0,SHEET,0.7,609.9,762,0,3
C,?,0,0,S,0,SHEET,0.3,1320,761,0,3
C,R,0,0,S,0,SHEET,1.599,1300,762,0,3
C,A,0,45,S,0,SHEET,0.599,150,4880,0,3
C,A,0,0,S,0,COIL,0.7,1320,0,0,3
C,R,0,0,S,0,SHEET,0.7,374.9,4880,0,3
C,?,0,0,A,0,SHEET,0.301,610,762,0,3
C,A,0,0,?,500,COIL,1.6,1320,0,0,3
C,A,0,0,S,0,SHEET,3.2,1300,762,0,3
C,A,0,0,S,0,SHEET,1.2,610,762,0,3
C,A,0,0,S,0,SHEET,1.2,610,4880,0,3
C,A,0,0,S,0,SHEET,0.6,1220,762,0,3
